,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
372,983039,深港通汽车,0,5946.5593,-0.042,,8270.86099,169.6252883137,13775.8555126109,7623.7950574208
373,983040,深港通汽车（港币）,0,6545.0444,-0.042,,8270.86099,209.7853069095,17037.3761932406,9428.769550503
374,983041,深港通服装纺织,0,8106.336,-0.0354,,4633.85919,46.2156032437,9694.8789631857,4158.0623077294
375,983042,深港通服装纺织（港币）,0,8921.7158,-0.0354,,4633.85919,57.15738067229999,11990.173740498101,5142.4937805526
376,983043,深港通电脑硬件,0,6660.9965,-0.0397,,26567.86082,445.65717299519997,36793.1253653088,19487.9638901747
377,983044,深港通电脑硬件（港币）,0,7329.5541,-0.0397,,26567.86082,551.1707689159999,45504.2370363897,24101.9205803111
378,983045,深港通消费服务,0,3073.1543,-0.0622,,8168.75362,48.1737453391,7090.941890771,2254.3794494493
379,983046,深港通消费服务（港币）,0,3383.3234,-0.0622,,8168.75362,59.5791275793,8769.7447973887,2788.1118304886
380,983047,深港通网络软件,0,6344.4714,-0.0373,,20787.26881,361.6783598367,44609.3277888362,27657.450432615897
381,983048,深港通网络软件（港币）,0,6981.6637,-0.0373,,20787.26881,447.3081360612,55170.7534063744,34205.4550574418
382,983049,深港通耐用消费,0,6960.5442,-0.0394,,4438.69625,86.70380636719999,12843.3663202024,7751.025534584101
383,983050,深港通耐用消费（港币）,0,7656.3789,-0.0394,,4438.69625,107.2316588802,15884.128822866202,9586.1382933809
384,983051,深港通农牧渔,0,6697.1737,-0.0191,,7142.44889,92.99611171229999,8745.4144297499,4484.0659540122
385,983052,深港通农牧渔（港币）,0,7365.4734,-0.0191,,7142.44889,115.0138636643,10815.9779874249,5545.7131900073
386,983053,深港通非银,0,4947.0921,-0.0421,,12715.91861,196.48157460009998,30524.211200801,20640.6330369647
387,983054,深港通非银（港币）,0,5444.552,-0.0421,,12715.91861,242.9997754143,37750.954127148,25527.3747354152
388,983055,深港通工业服务,0,2925.9965,-0.0148,,9298.29143,68.2967426053,6846.1155386962,3623.151190912
389,983056,深港通工业服务（港币）,0,3219.3885,-0.0148,,9298.29143,84.4665956678,8466.98079893,4480.9559888795
390,983057,深港通电信服务,0,3029.5673,-0.0112,,2367.92592,19.1859796823,10468.3354162948,3110.4902127511
391,983058,深港通电信服务（港币）,0,3334.3606,-0.0112,,2367.92592,23.7282922229,12946.728277654,3846.9033439101
392,983059,深港通生科,0,8894.9356,-0.0482,,4767.321,147.26412578120002,15355.0898523828,8088.6949409111
393,983060,深港通生科（港币）,0,9785.3435,-0.0482,,4767.321,182.1301028767,18990.5096497915,10003.7466636412
394,983061,深港通基材,0,6661.4285,-0.0076,,38900.16661,433.9881780571,27294.7968619743,13671.440779673401
395,983062,深港通基材（港币）,0,7330.8514,-0.0076,,38900.16661,536.7387883591999,33757.0575789825,16908.2606943613
